,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Achromobacter insolitus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Achromobacter sp. AONIH1,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Achromobacter spanius,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Bordetella pseudohinzii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella bronchialis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella hinzii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella trematum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella petrii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella flabilis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella genomosp. 13,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella avium,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Bordetella genomosp. 9,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella holmesii,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Bordetella sp. H567,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella genomosp. 8,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Bordetella bronchiseptica,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Bordetella genomosp. 6,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Bordetella pertussis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Bordetella parapertussis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Advenella mimigardefordensis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Advenella kashmirensis,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Castellaniella defragrans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Alcaligenes faecalis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Orrella dioscoreae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pusillimonas sp. T7-7,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Paenalcaligenes hominis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Basilea psittacipulmonis,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Massilia sp. WG5,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed
Massilia putida,Always Observed,Fairly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed
Massilia sp. B2,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed
Massilia sp. NR 4-1,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed
Janthinobacterium agaricidamnosum,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Janthinobacterium sp. 1_2014MBL_MicDiv,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Janthinobacterium svalbardensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Janthinobacterium sp. LM6,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Janthinobacterium sp. Marseille,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Janthinobacterium sp. B9-8,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Herbaspirillum seropedicae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Herbaspirillum frisingense,Mostly Observed,Fairly Observed,Always Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Herbaspirillum sp. meg3,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Herbaspirillum hiltneri,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Herbaspirillum rubrisubalbicans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Collimonas fungivorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Collimonas arenae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Collimonas pratensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Herminiimonas arsenitoxidans,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Herminiimonas arsenicoxydans,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Oxalobacter formigenes,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia gladioli,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Burkholderia sp. RPE64,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia sp. CCGE1003,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia sp. OLGA172,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Burkholderia sp. CCGE1002,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia sp. HB1,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia glumae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Burkholderia sp. Bp7605,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Burkholderia sp. CCGE1001,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia sp. RPE67,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Never Observed
Burkholderia sp. YI23,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Burkholderia sp. PAMC 26561,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Never Observed
Burkholderia sp. PAMC 28687,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Burkholderia plantarii,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia sp. KJ006,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia ubonensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Burkholderia cepacia,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Burkholderia cenocepacia,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Burkholderia multivorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Burkholderia stagnalis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Burkholderia ambifaria,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia lata,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia stabilis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia diffusa,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Never Observed
Burkholderia contaminans,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia vietnamiensis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Burkholderia metallica,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
[Pseudomonas] mesoacidophila,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Burkholderia territorii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Burkholderia seminalis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Burkholderia pyrrocinia,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Burkholderia pseudomultivorans,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Burkholderia latens,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Burkholderia pseudomallei,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Burkholderia thailandensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Burkholderia oklahomensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Burkholderia mallei,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Burkholderia sp. MSMB0266,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Burkholderia sp. MSMB0852,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Burkholderia sp. MSMB617WGS,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Cupriavidus gilardii,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Cupriavidus sp. NH9,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Cupriavidus necator,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Cupriavidus basilensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed
Cupriavidus metallidurans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Cupriavidus pinatubonensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Cupriavidus sp. USMAHM13,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Cupriavidus sp. USMAA2-4,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Cupriavidus sp. USMAA1020,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Paraburkholderia phytofirmans,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Paraburkholderia fungorum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Paraburkholderia sp. BN5,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Paraburkholderia sp. SOS3,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Paraburkholderia caribensis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Paraburkholderia sprentiae,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Paraburkholderia terrae,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Paraburkholderia phymatum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Paraburkholderia xenovorans,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Paraburkholderia hospita,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Paraburkholderia rhizoxinica,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Paraburkholderia phenoliruptrix,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Ralstonia solanacearum,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Ralstonia pickettii,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Always Observed,Fairly Observed
Ralstonia insidiosa,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Ralstonia mannitolilytica,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pandoraea oxalativorans,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Pandoraea norimbergensis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pandoraea thiooxydans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pandoraea faecigallinarum,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Pandoraea pnomenusa,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pandoraea pulmonicola,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Pandoraea vervacti,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Rarely Observed
Pandoraea sputorum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Pandoraea apista,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Polynucleobacter necessarius,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Polynucleobacter asymbioticus,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Polynucleobacter duraquae,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Acidovorax sp. JS42,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Acidovorax avenae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Acidovorax sp. KKS102,Mostly Observed,Fairly Observed,Always Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
